['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
53.0 , 4110.76923077 , 4356.41025641 , 3843.07692308 , 4197.43589744 , 4183.58974359 , 4067.17948718 , 4470.76923077 , 4034.87179487 , 4366.66666667 , 4236.41025641 , 4344.1025641 , 4166.15384615 , 4244.1025641 , 4159.48717949 , 1681.0 , 1745.0 , 21.996 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 4095.38461538 , 4357.94871795 , 3849.23076923 , 4200.51282051 , 4190.76923077 , 4064.61538462 , 4480.0 , 4034.87179487 , 4373.33333333 , 4234.35897436 , 4264.61538462 , 4170.76923077 , 4243.07692308 , 4143.58974359 , 1680.0 , 1745.0 , 22.004 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 4077.43589744 , 4351.79487179 , 3836.92307692 , 4197.43589744 , 4185.64102564 , 4069.23076923 , 4477.43589744 , 4032.82051282 , 4368.71794872 , 4231.28205128 , 4295.38461538 , 4170.76923077 , 4236.41025641 , 4172.30769231 , 1681.0 , 1744.0 , 22.013 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 4090.76923077 , 4356.41025641 , 3837.43589744 , 4198.46153846 , 4183.58974359 , 4070.25641026 , 4476.41025641 , 4035.38461538 , 4348.20512821 , 4230.76923077 , 4383.07692308 , 4154.87179487 , 4224.1025641 , 4167.69230769 , 1680.0 , 1745.0 , 22.019 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 4117.94871795 , 4353.84615385 , 3855.8974359 , 4195.38461538 , 4182.56410256 , 4064.1025641 , 4474.35897436 , 4038.97435897 , 4369.23076923 , 4230.25641026 , 4409.74358974 , 4167.17948718 , 4248.20512821 , 4152.82051282 , 1680.0 , 1746.0 , 22.027 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 4119.48717949 , 4356.41025641 , 3845.12820513 , 4191.79487179 , 4179.48717949 , 4047.17948718 , 4473.33333333 , 4031.79487179 , 4390.76923077 , 4232.30769231 , 4346.66666667 , 4167.17948718 , 4262.05128205 , 4137.94871795 , 1682.0 , 1745.0 , 22.035 , 0.0 , 0.0 , 0.0 , 0.0 , 

59.0 , 4077.94871795 , 4354.35897436 , 3841.02564103 , 4201.53846154 , 4188.71794872 , 4047.17948718 , 4478.46153846 , 4026.15384615 , 4327.69230769 , 4229.74358974 , 4279.48717949 , 4141.53846154 , 4212.82051282 , 4146.15384615 , 1681.0 , 1743.0 , 22.043 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 4077.94871795 , 4352.30769231 , 3842.05128205 , 4198.97435897 , 4186.15384615 , 4062.05128205 , 4479.48717949 , 4031.28205128 , 4316.92307692 , 4227.17948718 , 4318.46153846 , 4157.43589744 , 4214.87179487 , 4188.20512821 , 1679.0 , 1745.0 , 22.051 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4116.41025641 , 4362.05128205 , 3843.58974359 , 4193.84615385 , 4179.48717949 , 4048.71794872 , 4478.46153846 , 4032.30769231 , 4378.46153846 , 4229.74358974 , 4362.05128205 , 4164.1025641 , 4261.53846154 , 4165.64102564 , 1683.0 , 1744.0 , 22.059 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4095.38461538 , 4356.41025641 , 3841.02564103 , 4193.84615385 , 4181.53846154 , 4048.20512821 , 4470.25641026 , 4025.64102564 , 4387.17948718 , 4230.25641026 , 4352.82051282 , 4172.30769231 , 4259.48717949 , 4132.82051282 , 1678.0 , 1744.0 , 22.066 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4053.33333333 , 4355.8974359 , 3837.94871795 , 4202.05128205 , 4192.82051282 , 4072.30769231 , 4490.76923077 , 4025.64102564 , 4356.41025641 , 4227.69230769 , 4338.97435897 , 4163.07692308 , 4230.76923077 , 4145.12820513 , 1682.0 , 1745.0 , 22.074 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4100.51282051 , 4364.1025641 , 3849.74358974 , 4201.02564103 , 4188.20512821 , 4056.41025641 , 4487.69230769 , 4032.30769231 , 4326.66666667 , 4230.76923077 , 4326.66666667 , 4123.07692308 , 4225.64102564 , 4168.20512821 , 1681.0 , 1745.0 , 22.082 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4156.41025641 , 4364.1025641 , 3835.8974359 , 4183.07692308 , 4166.15384615 , 4038.46153846 , 4464.1025641 , 4029.74358974 , 4357.94871795 , 4231.79487179 , 4342.05128205 , 4141.53846154 , 4263.07692308 , 4191.28205128 , 1679.0 , 1745.0 , 22.09 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4093.33333333 , 4360.0 , 3837.94871795 , 4198.46153846 , 4183.58974359 , 4050.25641026 , 4492.30769231 , 4027.17948718 , 4367.17948718 , 4225.64102564 , 4346.66666667 , 4164.61538462 , 4246.15384615 , 4171.79487179 , 1681.0 , 1744.0 , 22.098 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4081.53846154 , 4358.97435897 , 3851.79487179 , 4208.20512821 , 4191.28205128 , 4053.33333333 , 4487.69230769 , 4032.82051282 , 4346.66666667 , 4227.17948718 , 4337.94871795 , 4170.25641026 , 4224.61538462 , 4146.15384615 , 1681.0 , 1744.0 , 22.105 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4128.71794872 , 4362.05128205 , 3831.28205128 , 4193.84615385 , 4172.30769231 , 4041.02564103 , 4478.46153846 , 4029.23076923 , 4376.41025641 , 4228.71794872 , 4350.76923077 , 4161.53846154 , 4261.53846154 , 4144.1025641 , 1680.0 , 1744.0 , 22.113 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4092.30769231 , 4360.0 , 3835.8974359 , 4204.1025641 , 4186.15384615 , 4041.02564103 , 4494.87179487 , 4025.12820513 , 4357.43589744 , 4226.15384615 , 4350.76923077 , 4124.61538462 , 4242.56410256 , 4148.71794872 , 1680.0 , 1744.0 , 22.121 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4081.53846154 , 4358.46153846 , 3842.05128205 , 4203.58974359 , 4185.12820513 , 4056.92307692 , 4483.07692308 , 4032.30769231 , 4332.82051282 , 4229.23076923 , 4337.43589744 , 4143.58974359 , 4229.23076923 , 4174.87179487 , 1682.0 , 1745.0 , 22.129 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4107.69230769 , 4360.0 , 3836.41025641 , 4194.35897436 , 4175.38461538 , 4062.56410256 , 4494.35897436 , 4035.38461538 , 4355.38461538 , 4231.28205128 , 4344.61538462 , 4175.8974359 , 4239.48717949 , 4167.69230769 , 1679.0 , 1745.0 , 22.137 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4095.38461538 , 4358.46153846 , 3848.71794872 , 4206.15384615 , 4187.69230769 , 4048.71794872 , 4490.25641026 , 4031.79487179 , 4344.1025641 , 4230.25641026 , 4346.66666667 , 4179.48717949 , 4218.97435897 , 4158.97435897 , 1681.0 , 1744.0 , 22.144 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4092.82051282 , 4352.30769231 , 3841.02564103 , 4198.46153846 , 4181.02564103 , 4039.48717949 , 4481.02564103 , 4034.35897436 , 4352.30769231 , 4229.74358974 , 4345.12820513 , 4160.51282051 , 4236.92307692 , 4175.38461538 , 1680.0 , 1745.0 , 22.151 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4102.05128205 , 4356.92307692 , 3836.92307692 , 4195.38461538 , 4179.48717949 , 4056.41025641 , 4496.41025641 , 4033.84615385 , 4352.30769231 , 4228.71794872 , 4348.71794872 , 4112.30769231 , 4237.43589744 , 4162.56410256 , 1681.0 , 1745.0 , 22.159 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4102.05128205 , 4355.8974359 , 3856.41025641 , 4208.20512821 , 4188.71794872 , 4040.51282051 , 4474.87179487 , 4031.79487179 , 4333.33333333 , 4230.25641026 , 4348.71794872 , 4127.17948718 , 4235.8974359 , 4160.51282051 , 1680.0 , 1743.0 , 22.168 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4087.17948718 , 4350.25641026 , 3851.79487179 , 4194.35897436 , 4183.07692308 , 4032.30769231 , 4486.66666667 , 4035.38461538 , 4351.28205128 , 4231.28205128 , 4354.35897436 , 4163.58974359 , 4254.35897436 , 4169.74358974 , 1680.0 , 1745.0 , 22.176 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4072.82051282 , 4357.94871795 , 3850.25641026 , 4195.38461538 , 4184.61538462 , 4048.71794872 , 4494.87179487 , 4032.82051282 , 4347.69230769 , 4229.74358974 , 4348.20512821 , 4145.12820513 , 4228.20512821 , 4158.46153846 , 1681.0 , 1744.0 , 22.183 , 0.0 , 0.0 , 0.0 , 0.0 , 

