Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q
20.000000	4361.025641	4387.692308	4404.102564	3712.307692	4384.102564	4610.769231	4630.769231	4524.615385	4024.102564	4104.615385	4518.461538	4441.538462	4270.769231	3961.538462	1735.000000	1676.000000	150.367000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.000000	4360.000000	4388.205128	4404.615385	3714.871795	4384.615385	4610.256410	4627.692308	4524.102564	4024.102564	4105.128205	4517.948718	4444.102564	4269.230769	3963.076923	1735.000000	1678.000000	150.367000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.000000	4360.512821	4388.717949	4407.179487	3714.871795	4382.051282	4610.769231	4626.153846	4522.564103	4028.205128	4100.000000	4517.948718	4443.589744	4268.205128	3961.538462	1736.000000	1677.000000	150.382000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.000000	4364.102564	4386.153846	4404.615385	3713.333333	4381.538462	4610.769231	4627.692308	4522.051282	4026.153846	4100.512821	4518.974359	4441.025641	4268.205128	3964.615385	1734.000000	1677.000000	150.382000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.000000	4363.076923	4385.128205	4405.128205	3713.333333	4383.076923	4609.743590	4629.230769	4523.589744	4026.153846	4105.128205	4517.948718	4442.051282	4269.230769	3965.641026	1736.000000	1677.000000	150.398000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.000000	4360.000000	4387.692308	4407.179487	3713.333333	4383.076923	4609.230769	4628.717949	4523.589744	4028.717949	4104.615385	4517.948718	4443.589744	4269.743590	3964.615385	1735.000000	1677.000000	150.398000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.000000	4358.974359	4387.692308	4406.666667	3712.820513	4384.102564	4609.743590	4627.692308	4522.564103	4024.615385	4102.564103	4518.461538	4442.051282	4265.641026	3960.512821	1735.000000	1677.000000	150.414000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.000000	4358.974359	4388.717949	4405.128205	3713.333333	4383.076923	4609.743590	4627.692308	4524.615385	4023.076923	4103.589744	4518.461538	4442.051282	4265.128205	3962.564103	1735.000000	1677.000000	150.418000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.000000	4357.948718	4390.256410	4406.153846	3714.358974	4380.512821	4609.230769	4629.230769	4524.102564	4026.666667	4104.102564	4518.461538	4443.589744	4269.230769	3968.205128	1735.000000	1678.000000	150.418000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.000000	4358.974359	4391.282051	4407.692308	3713.846154	4382.051282	4609.743590	4630.769231	4521.538462	4028.205128	4103.589744	4521.538462	4443.589744	4268.717949	3969.743590	1736.000000	1677.000000	150.433000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
