Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL
83.000000	4361.025641	4408.717949	4405.128205	3718.974359	4383.076923	4615.897436	4630.256410	4523.076923	4021.538462	4103.076923	4509.230769	4434.871795	4250.256410	3954.358974	1741.000000	1678.000000	45.941000	0.000000	0.000000	0.000000	0.000000
84.000000	4353.846154	4398.461538	4408.205128	3714.358974	4382.564103	4614.358974	4630.256410	4525.641026	4023.076923	4103.076923	4508.717949	4440.512821	4250.256410	3947.179487	1741.000000	1677.000000	45.954000	0.000000	0.000000	0.000000	0.000000
85.000000	4351.794872	4400.000000	4413.333333	3711.794872	4382.564103	4613.846154	4631.794872	4526.666667	4026.153846	4103.076923	4509.743590	4446.666667	4250.256410	3946.153846	1741.000000	1677.000000	45.957000	0.000000	0.000000	0.000000	0.000000
86.000000	4357.435897	4408.205128	4409.230769	3715.897436	4383.076923	4614.871795	4631.794872	4522.051282	4025.641026	4103.076923	4508.205128	4441.025641	4250.256410	3953.846154	1741.000000	1676.000000	45.957000	0.000000	0.000000	0.000000	0.000000
87.000000	4362.564103	4411.282051	4404.102564	3718.461538	4383.076923	4613.846154	4632.820513	4523.589744	4025.641026	4103.076923	4512.307692	4436.923077	4250.256410	3958.974359	1741.000000	1674.000000	45.972000	0.000000	0.000000	0.000000	0.000000
88.000000	4362.051282	4410.769231	4404.615385	3720.000000	4383.076923	4613.333333	4631.794872	4527.692308	4029.230769	4103.076923	4520.000000	4440.512821	4250.256410	3953.846154	1742.000000	1674.000000	45.972000	0.000000	0.000000	0.000000	0.000000
89.000000	4353.846154	4404.615385	4406.666667	3716.923077	4383.076923	4613.846154	4631.282051	4525.641026	4027.692308	4103.076923	4519.487179	4443.076923	4250.256410	3946.666667	1741.000000	1674.000000	45.988000	0.000000	0.000000	0.000000	0.000000
90.000000	4348.205128	4399.487179	4409.230769	3711.794872	4383.076923	4613.846154	4632.820513	4522.564103	4022.564103	4103.076923	4517.435897	4442.564103	4250.256410	3949.230769	1742.000000	1676.000000	45.988000	0.000000	0.000000	0.000000	0.000000
91.000000	4356.410256	4406.153846	4409.743590	3714.358974	4383.076923	4614.871795	4632.820513	4523.076923	4023.076923	4103.076923	4518.974359	4442.564103	4250.256410	3956.923077	1742.000000	1675.000000	46.004000	0.000000	0.000000	0.000000	0.000000
92.000000	4364.615385	4411.794872	4403.589744	3719.487179	4383.076923	4614.871795	4631.282051	4523.589744	4024.615385	4103.076923	4520.000000	4443.076923	4250.256410	3958.461538	1742.000000	1676.000000	46.004000	0.000000	0.000000	0.000000	0.000000
93.000000	4361.538462	4406.153846	4400.000000	3717.948718	4383.076923	4614.358974	4630.769231	4523.076923	4022.564103	4103.076923	4518.974359	4441.025641	4250.256410	3952.820513	1742.000000	1675.000000	46.019000	0.000000	0.000000	0.000000	0.000000
94.000000	4354.871795	4400.512821	4408.205128	3714.358974	4383.076923	4614.871795	4630.256410	4524.102564	4023.589744	4103.076923	4516.923077	4441.025641	4250.256410	3946.153846	1742.000000	1676.000000	46.019000	0.000000	0.000000	0.000000	0.000000
95.000000	4351.794872	4400.512821	4412.820513	3711.794872	4383.076923	4614.871795	4630.256410	4524.615385	4025.641026	4103.076923	4518.461538	4445.641026	4250.256410	3947.179487	1743.000000	1674.000000	46.035000	0.000000	0.000000	0.000000	0.000000
96.000000	4355.897436	4404.615385	4407.179487	3715.384615	4383.076923	4614.871795	4630.256410	4523.076923	4024.102564	4103.076923	4518.461538	4445.128205	4250.256410	3955.384615	1742.000000	1675.000000	46.035000	0.000000	0.000000	0.000000	0.000000
97.000000	4362.051282	4411.794872	4404.615385	3720.512821	4383.076923	4614.871795	4630.256410	4522.051282	4023.076923	4103.076923	4511.282051	4437.948718	4250.256410	3958.974359	1743.000000	1673.000000	46.050000	0.000000	0.000000	0.000000	0.000000
98.000000	4362.564103	4413.846154	4405.641026	3719.487179	4383.076923	4614.871795	4630.256410	4523.589744	4024.102564	4103.076923	4510.256410	4436.410256	4250.256410	3953.846154	1742.000000	1674.000000	46.050000	0.000000	0.000000	0.000000	0.000000
99.000000	4356.410256	4403.076923	4407.179487	3715.384615	4383.076923	4614.871795	4631.282051	4525.641026	4025.128205	4103.076923	4515.897436	4442.051282	4250.256410	3947.692308	1743.000000	1674.000000	46.066000	0.000000	0.000000	0.000000	0.000000
100.000000	4350.769231	4394.358974	4410.769231	3712.307692	4383.076923	4614.871795	4632.820513	4525.641026	4025.641026	4103.076923	4517.948718	4446.153846	4250.256410	3944.615385	1743.000000	1674.000000	46.066000	0.000000	0.000000	0.000000	0.000000
101.000000	4354.871795	4404.102564	4409.743590	3713.846154	4383.076923	4614.871795	4632.820513	4524.102564	4024.615385	4103.076923	4514.871795	4443.076923	4250.256410	3949.230769	1742.000000	1675.000000	46.082000	0.000000	0.000000	0.000000	0.000000
102.000000	4362.051282	4414.871795	4403.076923	3721.538462	4383.076923	4614.871795	4631.282051	4523.076923	4024.102564	4103.076923	4511.282051	4438.461538	4250.256410	3958.974359	1743.000000	1675.000000	46.082000	0.000000	0.000000	0.000000	0.000000
103.000000	4358.974359	4409.230769	4402.564103	3722.051282	4383.076923	4614.871795	4629.743590	4523.589744	4025.128205	4103.076923	4506.666667	4438.461538	4250.256410	3960.000000	1742.000000	1676.000000	46.097000	0.000000	0.000000	0.000000	0.000000
104.000000	4352.307692	4398.974359	4408.205128	3711.794872	4382.564103	4614.871795	4630.256410	4523.589744	4024.102564	4103.076923	4510.256410	4442.051282	4250.256410	3951.794872	1742.000000	1675.000000	46.097000	0.000000	0.000000	0.000000	0.000000
105.000000	4350.256410	4397.948718	4410.256410	3708.205128	4382.564103	4614.871795	4631.282051	4523.589744	4024.615385	4103.076923	4520.000000	4445.641026	4250.256410	3942.051282	1742.000000	1676.000000	46.113000	0.000000	0.000000	0.000000	0.000000
106.000000	4355.897436	4406.666667	4408.205128	3714.871795	4383.076923	4614.871795	4631.794872	4524.102564	4026.153846	4103.076923	4521.025641	4444.102564	4250.256410	3945.128205	1743.000000	1674.000000	46.113000	0.000000	0.000000	0.000000	0.000000
107.000000	4363.589744	4414.871795	4406.666667	3718.461538	4382.564103	4614.871795	4631.282051	4523.589744	4025.128205	4103.076923	4519.487179	4440.512821	4250.256410	3957.435897	1742.000000	1675.000000	46.129000	0.000000	0.000000	0.000000	0.000000
108.000000	4363.076923	4410.256410	4407.179487	3718.461538	4382.564103	4614.871795	4630.769231	4523.589744	4024.102564	4103.076923	4521.025641	4440.512821	4250.256410	3955.384615	1743.000000	1674.000000	46.129000	0.000000	0.000000	0.000000	0.000000
109.000000	4353.846154	4400.512821	4407.692308	3715.897436	4384.102564	4614.871795	4630.769231	4524.615385	4026.153846	4103.076923	4521.025641	4442.564103	4250.256410	3946.153846	1741.000000	1675.000000	46.144000	0.000000	0.000000	0.000000	0.000000
110.000000	4344.615385	4397.435897	4410.256410	3712.820513	4385.641026	4614.871795	4630.769231	4525.641026	4027.179487	4103.076923	4519.487179	4445.641026	4250.256410	3950.256410	1742.000000	1676.000000	46.144000	0.000000	0.000000	0.000000	0.000000
111.000000	4352.307692	4406.153846	4409.743590	3716.923077	4386.153846	4614.871795	4630.769231	4525.641026	4024.102564	4103.076923	4520.512821	4444.102564	4250.256410	3956.410256	1743.000000	1675.000000	46.160000	0.000000	0.000000	0.000000	0.000000
