['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
123.0 , 4476.41025641 , 4388.71794872 , 4420.0 , 3668.71794872 , 4382.05128205 , 4513.84615385 , 4498.97435897 , 4585.64102564 , 3928.20512821 , 4104.61538462 , 4249.23076923 , 4313.33333333 , 3968.20512821 , 3997.43589744 , 1727.0 , 1677.0 , 1.438 , 0.0 , 0.0 , 0.0 , 0.0 , 

124.0 , 4482.56410256 , 4387.69230769 , 4418.46153846 , 3666.15384615 , 4384.61538462 , 4513.84615385 , 4501.02564103 , 4587.17948718 , 3931.79487179 , 4104.61538462 , 4251.28205128 , 4314.87179487 , 3977.94871795 , 4000.0 , 1727.0 , 1677.0 , 1.453 , 0.0 , 0.0 , 0.0 , 0.0 , 

125.0 , 4487.69230769 , 4387.69230769 , 4425.64102564 , 3667.69230769 , 4385.64102564 , 4523.58974359 , 4506.66666667 , 4586.66666667 , 3933.84615385 , 4104.1025641 , 4257.94871795 , 4315.38461538 , 3986.15384615 , 4010.76923077 , 1727.0 , 1677.0 , 1.453 , 0.0 , 0.0 , 0.0 , 0.0 , 

126.0 , 4485.64102564 , 4389.23076923 , 4430.25641026 , 3669.23076923 , 4384.1025641 , 4525.64102564 , 4506.66666667 , 4586.15384615 , 3929.74358974 , 4104.1025641 , 4255.8974359 , 4313.84615385 , 3985.12820513 , 4011.28205128 , 1726.0 , 1677.0 , 1.469 , 0.0 , 0.0 , 0.0 , 0.0 , 

127.0 , 4476.41025641 , 4387.69230769 , 4425.12820513 , 3669.23076923 , 4383.58974359 , 4515.8974359 , 4500.0 , 4584.61538462 , 3928.71794872 , 4104.61538462 , 4248.20512821 , 4314.35897436 , 3978.46153846 , 3996.41025641 , 1726.0 , 1677.0 , 1.469 , 0.0 , 0.0 , 0.0 , 0.0 , 

128.0 , 4475.38461538 , 4384.61538462 , 4421.53846154 , 3668.20512821 , 4384.61538462 , 4509.74358974 , 4496.92307692 , 4582.05128205 , 3926.66666667 , 4104.61538462 , 4251.28205128 , 4313.84615385 , 3975.8974359 , 3993.84615385 , 1725.0 , 1678.0 , 1.484 , 0.0 , 0.0 , 0.0 , 0.0 , 

0.0 , 4489.23076923 , 4386.15384615 , 4418.97435897 , 3668.71794872 , 4384.1025641 , 4514.35897436 , 4500.51282051 , 4581.02564103 , 3921.02564103 , 4104.1025641 , 4257.43589744 , 4311.28205128 , 3976.92307692 , 4008.71794872 , 1725.0 , 1678.0 , 1.5 , 0.0 , 0.0 , 0.0 , 0.0 , 

1.0 , 4500.0 , 4389.74358974 , 4418.97435897 , 3672.30769231 , 4383.07692308 , 4519.48717949 , 4504.61538462 , 4583.58974359 , 3923.58974359 , 4104.61538462 , 4255.8974359 , 4311.79487179 , 3982.05128205 , 4013.33333333 , 1726.0 , 1678.0 , 1.5 , 0.0 , 0.0 , 0.0 , 0.0 , 

2.0 , 4494.87179487 , 4387.69230769 , 4420.51282051 , 3673.84615385 , 4382.56410256 , 4517.94871795 , 4502.05128205 , 4583.58974359 , 3928.20512821 , 4105.64102564 , 4253.84615385 , 4315.8974359 , 3988.20512821 , 4007.17948718 , 1725.0 , 1677.0 , 1.5 , 0.0 , 0.0 , 0.0 , 0.0 , 

3.0 , 4484.1025641 , 4386.66666667 , 4420.51282051 , 3670.76923077 , 4383.07692308 , 4517.94871795 , 4496.41025641 , 4581.02564103 , 3925.12820513 , 4105.12820513 , 4255.38461538 , 4315.8974359 , 3989.23076923 , 4010.76923077 , 1725.0 , 1678.0 , 1.516 , 0.0 , 0.0 , 0.0 , 0.0 , 

4.0 , 4478.97435897 , 4388.20512821 , 4421.02564103 , 3670.25641026 , 4384.61538462 , 4521.02564103 , 4497.94871795 , 4581.53846154 , 3925.12820513 , 4103.58974359 , 4257.43589744 , 4313.33333333 , 3993.84615385 , 4015.38461538 , 1726.0 , 1677.0 , 1.516 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 4486.66666667 , 4388.20512821 , 4422.56410256 , 3672.82051282 , 4383.58974359 , 4519.48717949 , 4503.58974359 , 4581.53846154 , 3932.82051282 , 4103.07692308 , 4260.51282051 , 4314.87179487 , 4003.58974359 , 4010.25641026 , 1725.0 , 1678.0 , 1.531 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 4493.84615385 , 4388.20512821 , 4423.58974359 , 3672.30769231 , 4382.56410256 , 4517.43589744 , 4503.07692308 , 4577.94871795 , 3932.30769231 , 4104.1025641 , 4259.48717949 , 4316.92307692 , 4004.1025641 , 4008.20512821 , 1726.0 , 1677.0 , 1.531 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 4493.84615385 , 4388.20512821 , 4425.12820513 , 3675.38461538 , 4383.58974359 , 4524.61538462 , 4505.64102564 , 4580.51282051 , 3931.79487179 , 4104.61538462 , 4258.46153846 , 4312.82051282 , 3999.48717949 , 4011.79487179 , 1725.0 , 1676.0 , 1.547 , 0.0 , 0.0 , 0.0 , 0.0 , 

